,symbols,price,book_value,roic,NCAV_per_share,debt/equity,interest_coverage,free_cash_flow,price_per_earning,price_per_book,price_per_ncav,price_to_sales
399,GWSA,100.0,260.47,8.73,n.a,5.88,n.a,-228.38 B,6.06,0.38392137290282946,n.a,6.61
400,KRAH,2195.0,196.23,16.95,101.09476524540618,131.05,3.41,-115.56 B,83.19,11.185853335371759,21.71230127169955,2.75
401,SAFE,96.0,-187.52,n.a,n.a,n.a,2.07,+4.85 B,-1.87,-0.5119453924914675,n.a,49.96
402,TGKA,2750.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
403,BEKS,53.0,38.61,-17.6,n.a,75.03,n.a,-20.58 B,-1.67,1.3727013727013728,n.a,0.48
404,CMNP,2150.0,1423.19,10.09,13.393637824334272,33.82,3.57,+523.34 B,13.58,1.5106907721386462,160.5239762489147,5.01
405,BOLT,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
406,KRAS,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
407,EPMT,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
408,PRAS,120.0,1108.05,1.94,-153.66752369354037,68.49,2.3,+11.21 B,10.62,0.10829836198727495,-0.7809067076483667,0.32
409,JIHD,550.0,1530.98,1.0,-253.88118908864467,15.59,11.93,+1.38 B,23.11,0.35924701824974853,-2.1663676697526535,1.83
410,GDST,60.0,96.18,-1.59,1.9991998508944433,3.69,-1.07,+84.20 B,-5.31,0.6238303181534622,30.012007040294627,0.69
411,LMSH,550.0,1218.44,6.54,888.6059899119433,3.45,11.63,+1.49 B,11.3,0.45139686812645674,0.6189469869030507,0.25
412,LPIN,5050.0,4970.8,-2.92,-1796.3777494385017,4.43,-1.14,-19.84 B,-4.64,1.0159330490061962,-2.8112127316086446,1.88
413,BTPN,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
414,EMTK,9950.0,2468.01,8.95,1399.7856270241145,13.65,9.88,+631.85 B,30.92,4.031588202640994,7.108231294782818,6.74
415,CINT,337.0,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a,n.a
416,MAIN,1315.0,565.09,-5.89,-506.37430782787783,174.76,0.16,-967.18 B,-14.1,2.3270629457254595,-2.5968932066098875,0.83
417,JPFA,600.0,434.62,3.5,-184.02362691648662,148.85,1.81,-11.80 B,-45.53,1.3805163131010998,-3.2604508999938973,0.41
418,IPOL,68.0,338.04,2.12,-82.27090117267768,69.27,2.61,+8.11 B,47.93,0.20115962607975385,-0.8265376825917512,0.27
